公車名稱,站牌名稱
202,萬大路
202,西藏路口
202,德昌街口
202,南山高中
202,雙和里
202,安和路口
202,景新街口
202,捷運景安站
202,中和教會
202,景新街
202,輕軌陽光運動公園站
202,光華街口
202,十四份
202,及人中學
202區,臺北科技大學(忠孝)
202區,忠孝國小
202區,華山文創園區
202區,捷運善導寺站
202區,臺北車站(忠孝)
202區,中華路北站
202區,捷運西門站
202區,小南門
202區,捷運中和站
202區,連城路口
202區,中和區公所(景平路)
202區,南華路口
202區,捷運景安站(景平路)
202區,安和路二段
202區,石頭厝
202區,輕軌陽光運動公園站
202區,光華街口
202區,十四份
202區,及人中學
202區,輕軌安康站
202區,康樂新村
202區,大茅埔
202區,頭城一
202區,頭城
202區,中央印製廠
202區,二城
202區,建業路
203,職能發展學院
203,東山路
203,天母國中
203,忠誠路口
203,市立臺北特教學校
203,天母棒球場(忠誠)
203,蘭雅國中
203,蘭雅新城
203,捷運劍潭站(中山)
203,劍潭
203,民族東路口
203,稻江護校
203,中山國小(新生)
203,民權吉林路口
203,捷運行天宮站(松江路)
203,臺安醫院
203,臺視
203,美仁里
203,光復路口
203,臺北市區監理所
203,八德東寧路口
203,新聚里
203,土地公廟
203,東明里/臺北流行音樂中心
203,南港輪胎
203,台肥新村
203,南港行政中心
203,南港高工(南港路)
203,木南煤礦
203,金龍國小(康寧街)
203,北峰里(康寧街)
203,世電社區
203,社后消防隊
204,行愛路77巷口
204,行愛路
204,新湖行忠路口
204,新湖三路口(台北花市)
204,新湖一路口
204,新湖民善街口(一)
204,行善路
204,潭美國小(舊宗)
204,南京三民路口
204,博仁醫院
204,臺北市區監理所(光復)
204,捷運國父紀念館站(光復)
204,交通部觀光署
204,阿波羅大廈
204,捷運忠孝敦化站
204,信義新生路口
204,信義永康街口
204,捷運東門站
204,信義杭州路口
204,中正紀念堂
204,一女中(公園)
204,市立大學附小
204,西藏路口
204,德昌街口
204,萬大國小
204,果菜市場
204,華中河濱公園
205,萬大國小
205,德昌街口
205,西藏路口
205,萬大路
205,莒光路口
205,萬華車站
205,龍山寺(康定)
205,祖師廟(康定)
205,臺北科技大學
205,進安公園
205,中影八德大樓
205,中崙
205,臺安醫院
205,臺視
205,美仁里
205,土地公廟
205,東明里/臺北流行音樂中心
205,南港水廠
205,圓拱橋
205,中研新村
205,中研院
205,胡適公園
205,九如里一
205,凌雲五村
206,小南門(和平院區)
206,捷運西門站
206,中華路北站
206,捷運北門站
206,延平鄭州路口
206,延平長安路口
206,南京西路口(鈕釦街)
206,民生西路口(大稻埕碼頭)
206,社子消防分隊
206,名山里
206,芝山抽水站
206,士林電機(中山德行路口)
206,石油新村
206,忠義新城
206,德行忠誠路口
206,德行東路
207,捷運南勢角站
207,中和國中
207,壽南里
207,捷運南勢角站(捷運路)
207,南勢角(興南路)
207,智光商職
207,中興二村
207,中興新村
207,松山商職(福德)
207,松友新村
207,信義行政中心(奉天宮)
207,中行里
207,玉成公園(中坡)
207,協和祐德高中
207,捷運後山埤站(忠孝)
208,敬業三路一
208,敬業三路二
208,大直美堤花園三
208,敬業四路
208,美麗華
208,捷運劍南路站
208,自強隧道
208,植福宮
208,捷運圓山站
208,花博公園
208,大同大學
208,景福宮
208,中山國小
208,新興國中
208,聚盛里
208,仁愛林森路口
208,羅斯福潮州街口
208,得和路口
208,中興新村
208,中興二村
208,智光商職
208,景新街
208,三介廟
208,新和國小
208,十四份
208,及人中學
208區,捷運公館站
208區,福和橋(林森路)
208區,福和國中
208區,永利路
208區,金銀大廈
208區,永和國小
208區,得和路口
208區,永平里
208區,陽光運動公園(新店花市)
208區,安和路二段
208區,石頭厝
208區,輕軌陽光運動公園站
208區,光華街口
208區,十四份
211,捷運麟光站
211,黎忠市場
211,富陽街口
211,捷運六張犁站(和平)
211,和平安和路口
211,臥龍街
211,國立臺北教育大學
211,復興南路口
211,濟南金山路口
211,濟南路二段
211,臺北商大(濟南)
211,成功中學(濟南)
211,三重派出所(重新路)
211,捷運台北橋站
211,正義重新路口
211,長元西街口
211,長壽西街口
211,三安里
211,龍門路口
211,三重商工(三民街)
211,博愛新村
211,仙公廟
211,二重站
212,中華南海路口
212,南機場公寓
212,廈安里
212,大埔街
212,聯合醫院和平院區
212,捷運西門站
212,中華路北站
212,臺北車站(忠孝)
212,捷運忠孝敦化站
212,阿波羅大廈
212,交通部觀光署
212,捷運國父紀念館站(忠孝)
212,土地公廟
212,東明里/臺北流行音樂中心
212,南港輪胎
212,台肥新村
212,南港行政中心
212,中研院
212,舊莊一站
212,舊莊國小
212,舊莊
212,舊莊二站
212直,光仁國小
212直,萬大國小
212直,德昌街口
212直,西藏路口
212直,西藏路
212直,廈安里
212直,大埔街
212直,聯合醫院和平院區
212直,正義郵局
212直,懷生國中
212直,頂好市場
212直,捷運忠孝敦化站
212直,阿波羅大廈
212直,交通部觀光署
212直,捷運國父紀念館站(忠孝)
212直,南港機廠
212直,捷運南港站
212直,台北生技園區
212直,舊莊國小
212直,舊莊
212直,舊莊二站
212夜,光仁國小
212夜,萬大國小
212夜,德昌街口
212夜,西藏路口
212夜,西藏路
212夜,廈安里
212夜,大埔街
212夜,聯合醫院和平院區
212夜,正義郵局
212夜,懷生國中
212夜,頂好市場
212夜,捷運忠孝敦化站
212夜,阿波羅大廈
212夜,交通部觀光署
212夜,捷運國父紀念館站(忠孝)
212夜,南港機廠
212夜,捷運南港站
212夜,台北生技園區
212夜,舊莊國小
212夜,舊莊
212夜,舊莊二站
214,西湖圖書館(湖光教會)
214,湖光國宅
214,捷運文德站(碧湖公園)
214,內湖高中
214,方濟中學
214,將軍嶺
214,國防醫學中心
214,內湖行政大樓
214,民權復興路口
214,民權龍江路口
214,民權建國路口
214,民權松江路口
214,捷運行天宮站(松江路)
214,長春松江路口
214,捷運古亭站(和平)
214,南福板溪(南昌公園)
214,和平西路一段
214,重慶南路三段(中正橋)
214,捷運頂溪站
214,仁愛路
214,信義路
214,永和國小
214,得和路口
214,中興新村
214,中興二村
214,智光商職
214,宜安吉立
214,宜安路
214,中和國稅局
214,台貿一村
214,連城錦和路口(暫時裁撤)
214,連城中正路口
214,連城路
214,中和高中
214直,松山機場
214直,民權敦化路口
214直,民權復興路口
214直,民權龍江路口
214直,民權建國路口
214直,民權松江路口
214直,捷運行天宮站(松江路)
214直,長春松江路口
214直,金山潮州街口
214直,捷運古亭站(和平)
214直,南福板溪(南昌公園)
214直,和平西路一段
214直,重慶南路三段(中正橋)
214直,捷運頂溪站
214直,中興街口
214直,中和廟口
214直,連城中和路口
214直,連城景平路(暫時裁撤)
214直,中和國稅局
214直,台貿一村
214直,連城錦和路口(暫時裁撤)
214直,連城中正路口
215,後車站
215,圓環(重慶)
215,民生重慶路口
215,下竹圍
215,地藏禪寺
215,臨江園
215,福安國中
215,富洲里八段
215,富安國小
215,建安新村
216,榮總
216,永明派出所
216,綜合市場(捷運石牌站)
216,義理街口
216,陽明交大(東華)
216,健行新村(東華)
216,捷運唭哩岸站一(東華)
216,捷運唭哩岸站二(東華)
216,北投市場(公館路)
